destination,minTotalPayments,maxTotalPayments
0xf300e342c7d275759c9049f4b178040dcfae1b70,10130424220000001720320,20260848440000003440640
0xa13bb257b3fc3f476ff2eaf28726363e2205a02e ,10293200250000000417792,20586400500000000835584
0xa951d6ef2f585457d07e0661cf88f6fc505b42cb,10293200250000000417792,20586400500000000835584
0xa32cc2f7bae31c79ab75d0bc39182fd113c53790,10536944009999999303680,21073888019999998607360
0x805ed1ad073ed9a6d9d9105d5f3bbf8eac8c2ab5,10555328609999998943232,21110657219999997886464
0x3ac9c5d5d98a725396ff757627736b0ef11c2b0d,11291552799999999868928,22583105599999999737856
0x911c88b144fbe4d6350dc0161d731243a2e7a258,11291552799999999868928,22583105599999999737856
0x31bfe818bdf161e08870614852416d2e5c3011dc,11580524109999999287296,23161048219999998574592
0xeb65ec7260e5f81ee1a8f00a25f2c382d838e37b,11749460390000000499712,23498920769999995928576
0x5bee938736df6cb720d54db2dfb1e17786caa318,11944853979999999361024,23889707959999998722048
0xe47b3d3e7c9e11f404a73da33f0b5c0cd1810e0a ,12208292250000000286720,24416584500000000573440
0xbaccc96248d3302e4c8fbfadbba5142aedb42b79,12208292250000000286720,24416584500000000573440
0x3f3f2b39a6210ad71cc99486ae060a780c3b9d4e,12208292250000000286720,24416584500000000573440
0x63fc588966deacb2908b6a596a6386f3b1dad723,12269949929999998910464,24539899850000001138688
0x06c650735ceed6e92c2f21981daa7ddb90a1d51d,12805232779999999688704,25610465559999999377408
0x51bd9fd860223ef52cf77b517ebab5ca58dc1c63,13013470270000000401408,26026940529999999926272
0xb56a127d28df5ecbe1fb1fabde88eb383a8dbc56,13052567260000000409600,26105134520000000819200
0xeb595b45e4c9d398be3451da855ae209cf363d29,13232115499999999033344,26464230990000001384448
0x33bd4aa1214c1c787cbdf7141feb1ae7d8734555,13248174830000000729088,26496349660000001458176
0xf4ad11828f6bed182c273b6aebaef9a973ca621a,13264052309999998730240,26528104619999997460480
0xbe87b1320297d3a238fef61003b827e1a4ac4509,13283649630000000270336,26567299249999999664128
0xb3f31ad589ba65df22ed16341ea623b685dd78e5,13365231829999998205952,26730463659999996411904
0xa472e4ca3a2c58903e7e17deb29bebbd508e20de,13624716259999998803968,27249432510000000925696
0xe319d04fed54c473a956209cc90ecebf6df3fb47,13896608009999999827968,27793216010000002973696
0xf59c213f54aaae2133061207fa975b4052ccfa1e,15456418070000000040960,30912836140000000081920
0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,15456418070000000040960,30912836140000000081920
0xe93f001cc9a2b773e5cb846ff72039e244047bb5,16572716430000000073728,33145432860000000147456
0x305a45d8f6d22f14046305926aa84024fe22660c,16832525489999999664128,33665050969999998451712
0xed356955a4af05d83fa553871c67af147e14ca3e,17004219340000000475136,34008438680000000950272
0xe631a86522fd93b96213b3b6342876c73afab82f,17010256929999999205376,34020513859999998410752
0x614dc59f2319e4b05002640478f35544bbc0e2cf,17010256929999999205376,34020513859999998410752
0x1ded73e0c96bd1fe1678503b8cac8d46f37a299b,17010256929999999205376,34020513859999998410752
0xefab1eb78fff1db84180a90964300fda7533b186,17010256929999999205376,34020513859999998410752
0x6c042683527a746aee02cfe4282f1cd173dc3938,17010256929999999205376,34020513859999998410752
0x43ed2ea18c62958ce41d866d6c2480db547cb700,17010256929999999205376,34020513859999998410752
0xcd11dd9d3d03fe35b82ccba741f681e4dfcb145c,17010256929999999205376,34020513859999998410752
0xdb14b7afa4332fddfcfb7c8dd2d53c68306e0d69,17010256929999999205376,34020513859999998410752
0xb9d9860f8835a486078eb49f5b0c0dc4f86a444e,17010256929999999205376,34020513859999998410752
0x510a3235e1bc60f9f8beaf2cc94cb9b6719c3cc8,17010256929999999205376,34020513859999998410752
0x40b4ba94a6dd97a48a143c5d2fae4e32e0259e85,17010256929999999205376,34020513859999998410752
0x202803d33ce9e1a36b9b1458e828d6f3b3a235f1,17010256929999999205376,34020513859999998410752
0x1439734e37552df17bcf2ff0f1e87483a09c8655,17010937500000000671744,34021875010000002220032
0x10f043fd81bb740253f64394a4781e48ae9e2006,17253620569999998451712,34507241130000000221184
0x97a089c0f9933e6d45d5cfb351efe15a3817cf04,18005375240000000491520,36010750489999997665280
0x67acb72ea79131bb6061470413221b3584fce640,18143578600000001671168,36287157200000003342336
0x9ac9dd6a6b411fd3307746d2fe1d78dfa09b7d80,19543081970000000450560,39086163950000001777664
0xfdc09c96e5b7ebe2f6c36e1bc0b6a6a8c6571c82,19896055849999998648320,39792111689999996420096
0x52307d0eba477e282440f1114c2d0c2a8792aac5,21946932780000004276224,43893865570000001040384
0x6e5d43a620fc9456a1f23be69933a516e177ddec,22025622519999998459904,44051245029999996043264
0x8e9ab8d3ca62b783fab5e50f7015900a78ce734b,22594168600000001474560,45188337200000002949120
0x2000e0171c5e7b79b2f29068122cae26012b02df,22944272049999997566976,45888544089999994257408
0x85670c918fd6a80bdc92202c59d20b6e0c01c7e9,23236159639999999901696,46472319290000000679936
0x26098c24ca52ae70ff173817e2285a7971c22139,23780505230000001122304,47561010470000003121152
0x3ac9c5d5d98a725396ff757627736b0ef11c2b0d,25098280150000000303104,50196560289999991341056
0x118ca5e9390208048088350b71d4ece2463b6587,26405159580000000671744,52810319150000000466944
0x03208c1ea7d29cac80c2708e9bf9f4470a11b7a9,29218549180000003686400,58437098360000007372800
0x99ccf0db7783927e9a1ad324e99b6964c587024a,29510376000000001835008,59020752000000003670016
0x8d441db44ca98c135264b064ffd44f2f6c831b37,30682905890000000253952,61365811790000001384448
0x1666bf3130ffddf80b1d97d3d602d612e87658db,32224969750000001089536,64449939500000002179072
0xdcbc0420319736f4de871914bcb6d106177fca7d,33243205829999997222912,66486411649999993569280
0xd932de349a0e583b27cc98cc5025a4960c4da5e1,34020513859999998410752,68041027719999996821504
0xe4cd56f91bc79cc610aefb1be92b07bb5b6f2e30,34020513859999998410752,68041027719999996821504
0x2be9c16e99be3ca77af5a0133a11e129d7b176ce,34279285939999994806272,68558571879999989612544
0xa25207bb8f8ec2423e2ddf2686a0cd2048352f3e,34338568569999996223488,68677137139999992446976
0xa7169a3f91731b70ec1b1339bb1c694d1eccea73,35675296320000001835008,71350592640000003670016
0x012cae16d4c2c4ea8d1dabaa193f0ac5a5f33c47,41661188659999997427712,83322377329999987343360
0x288fe43139741f91a8cbb6f4add83811c794851b,47770509129999997468672,95541018259999994937344
0xe18c81d3129ef619d1288d3b967fe146983a8e55,51052610310000007446528,102105220599999996362752
0xe1e9921e56e2bec1788fc991b73fddc5d1932947,51052610310000007446528,102105220599999996362752
0x6277409c94758265950d5e9657f14b3562d088fc,51052610310000007446528,102105220599999996362752
0x944b5b58a1fc1d092eca89c73dff7efd8fd4e139,52178223299999993692160,104356446599999987384320
0xf89e9f61d4ecb25ff5c62da2b1c5a3f8af3af094,69066340830000004988928,138132681699999979929600
0x76ac38f789645d2bf08274cbafcf82174781fc48,70276746289999991799808,140553492600000002129920
0x8cdc4ff4da3961e551931c1f5f31bc04ae8e8464,71418933940000005292032,142837867900000012337152
0x68aaa618d6b7f5c9363760ac473d91056fc7ac01,75057453699999996051456,150114907399999992102912
0x5be456902da8be506782150e7a8ffea573f4d8a9,77613114700000011485184,155226229400000022970368
0x2c39b8c5b9d31299449474a4d0bcd8f9a32751e4,82506782389999987851264,165013564799999994232832
0x342996d8eac41fb5ea4ab781863ea66c230c39ea,84101008660000004898816,168202017299999991267328
0xc72362deb3572d3b334fda7a8b2f0188bf27c6a1,86836913420000015941632,173673826799999994822656
0x28de46689b899af843ec549199ad70a75ad4d960,90595608570000006184960,181191217100000008863744
0x3c908edbf44e9d29f596777c7b3f4bbc8114a4f7,96957745050000004481024,193915490100000008962048
0xa13bb257b3fc3f476ff2eaf28726363e2205a02e,101612291699999997165568,203224583500000019873792
0x592c75cdff65a72245c4419e42f89c3fb833cc41,108856039900000009846784,217712079900000011681792
0xbf0f24fd34bc76cd6d8eb37cc99d4477ed3a98fb,112768208899999990284288,225536417699999988580352
0x745d3549d0a7ae99d4ff947332f8b079d16307d7,120396963500000003751936,240793927099999999492096
0xfa1ea12178768784c276d7b6ce30cdb138fc42dd,121682065199999993511936,243364130500000012566528
0xed6f4cd9288fb42f9e119f663b810be25e857d0b,124151779399999992889344,248303558900000011321344
0x179ea598a88b255432406f4fcbc43d54813c4c47,126382236899999995658240,252764473900000016859136
0x632136f7f3b649a0ccee870711af4a80fc377e88,130897494600000007569408,261794989099999989596160
0x3a1e9e54f4d708e3acbdb2cfaa3ec94f34b9b02e,137148194200000003047424,274296388400000006094848
0xc4a4e1665adfea108424b3a6f2bc9897ea62b390,150221515500000003489792,300443031100000032522240
0xe3b2f16a52671af6a5d498d3cfdcccdc2ad0d58f,159771976999999981486080,319543954099999954960384
0xc6a41abbfb94bfef93b8726f0657bf901426d8e0,180365880200000010452992,360731760499999945785344
0x14b1de0e7e1106e629c3abe3f09f3373c428d123,182571338099999994019840,365142676299999980027904
0x755757e14e38ae67b146d9f1cf84a58b8654ef63,193563866799999985647616,387127733599999971295232
0xb72dbe75c73adf90dc9e2c3f50f10d1af10e4c12,270583885799999974408192,541167771500000023937024
0x4ea4a38e351ae6e4d29f19a173986a178144132f,288586917899999996018688,577173835899999916916736
0x0985fbcb517b2889eb2340a3c2747e133a825cd2,342066957799999942950912,684133915599999885901824
